,Image,F1,Jaccard,Recall,Precision
459,981.png,0,0,0,0
460,1729.png,0.844519016,0.730880929,0.768056968,0.937888199
461,2911.png,0.946277666,0.023686921,0.034277198,0.07120743
462,2250.png,0.859836674,0.149317406,0.149317406,1
463,1271.png,0,0,0,0
464,1630.png,0.946673997,0.89874739,0.980637813,0.91498406
465,1927.png,0,0,0,0
466,1103.png,0.49299258,0.327133479,0.328571429,0.98679868
467,213.png,0.949467482,0.903796376,0.960568547,0.938620072
468,1656.png,0.864197531,0.760869565,0.921052632,0.813953488
469,2588.png,0.864935065,0.76201373,0.812195122,0.925
470,2274.png,0.903409091,0.823834197,0.88951049,0.917748918
471,849.png,0.946000578,0.897534247,0.914572864,0.979665072
472,2986.png,0.73313783,0.578703704,0.731605351,0.734676742
473,1588.png,0.704277743,0.54354067,0.545891398,0.992139738
474,2688.png,0.950064185,0.025674786,0.093301435,0.034210526
475,1234.png,0.879518072,0.784946237,0.842307692,0.920168067
476,745.png,0.909900848,0.834695492,0.875795297,0.946770335
477,387.png,0.977099237,0.955223881,0.993103448,0.961602671
478,103.png,0.951751487,0.907944515,0.965147453,0.938722295
479,1742.png,0.809605489,0.680115274,0.975206612,0.692082111
480,636.png,0.986917142,0.974172185,0.993918919,0.980013324
481,2763.png,0.837776616,0.72083958,0.745888923,0.955484897
482,1446.png,0.920955882,0.853492334,0.98816568,0.862306368
483,2342.png,0.931523022,0.871823204,0.879108635,0.990583804
484,2494.png,0.86977887,0.769565217,0.892436975,0.848242812
485,2390.png,0.764857881,0.619246862,0.62206655,0.992733371
486,2709.png,0,0,0,0
487,2604.png,0.929607171,0.868472906,0.8815,0.983268265
488,412.png,0.970479705,0.94265233,0.943779904,0.998734177
489,1097.png,0.836789298,0.366857143,0.933139535,0.376760563
490,1311.png,0.811309867,0.682524272,0.902439024,0.736897275
491,2081.png,0.816037736,0.689243028,0.700404858,0.97740113
492,132.png,0.949009692,0.902967121,0.978279757,0.921440262
493,186.png,0,0,0,0
494,1330.png,0.911392405,0.837209302,0.90647482,0.916363636
495,1523.png,0.889908257,0.801652893,0.935691318,0.848396501
496,2401.png,0.829465187,0.70862069,0.732185273,0.956555469
497,657.png,0.916141236,0.845258871,0.945348081,0.888685015
498,29.png,0.960134756,0.923326134,0.952115813,0.968289921
499,2579.png,0,0,0,0
500,2521.png,0.653669104,0.485518906,0.612379503,0.700929152
501,640.png,0.921428571,0.854304636,0.871621622,0.977272727
502,2058.png,0,0,0,0
503,1981.png,0.820403826,0.695495495,0.963795256,0.714153562
504,2091.png,0.659939455,0.49246988,0.753166987,0.587249327
505,1204.png,0.908366534,0.832116788,0.926829268,0.890625
506,2451.png,0.540667057,0.370489174,0.58259773,0.504366812
507,523.png,0.898696682,0.816030124,0.816030124,1
508,1393.png,0.932614555,0.873737374,0.947945205,0.917771883
509,301.png,0.976153714,0.953418231,0.967358041,0.985110803
